nav_id,amfi_code,date,nav
1,100016,2022-01-03,520.4608
2,100016,2022-01-04,515.0971
3,100016,2022-01-05,521.7239
4,100016,2022-01-06,515.788
5,100016,2022-01-07,515.1639
6,100016,2022-01-08,515.1639
7,100016,2022-01-09,515.1639
8,100016,2022-01-10,510.7136
9,100016,2022-01-11,513.5542
10,100016,2022-01-12,512.3195
11,100016,2022-01-13,510.2445
12,100016,2022-01-14,514.3636
13,100016,2022-01-15,514.3636
14,100016,2022-01-16,514.3636
15,100016,2022-01-17,514.7627
16,100016,2022-01-18,517.3803
17,100016,2022-01-19,513.1866
18,100016,2022-01-20,507.1294
19,100016,2022-01-21,507.871
20,100016,2022-01-22,507.871
21,100016,2022-01-23,507.871
22,100016,2022-01-24,506.7062
23,100016,2022-01-25,509.7762
24,100016,2022-01-26,509.68
25,100016,2022-01-27,510.8661
26,100016,2022-01-28,503.8641
27,100016,2022-01-29,503.8641
28,100016,2022-01-30,503.8641
29,100016,2022-01-31,512.5903
30,100016,2022-02-01,512.1124
31,100016,2022-02-02,515.5386
32,100016,2022-02-03,512.0153
33,100016,2022-02-04,513.6729
34,100016,2022-02-05,513.6729
35,100016,2022-02-06,513.6729
36,100016,2022-02-07,508.0666
37,100016,2022-02-08,510.3595
38,100016,2022-02-09,509.0223
39,100016,2022-02-10,509.4161
40,100016,2022-02-11,512.826
41,100016,2022-02-12,512.826
42,100016,2022-02-13,512.826
43,100016,2022-02-14,507.5435
44,100016,2022-02-15,504.7492
45,100016,2022-02-16,507.0506
46,100016,2022-02-17,516.7872
47,100016,2022-02-18,516.4246
48,100016,2022-02-19,516.4246
49,100016,2022-02-20,516.4246
50,100016,2022-02-21,519.3918
51,100016,2022-02-22,519.1698
52,100016,2022-02-23,528.4118
53,100016,2022-02-24,520.6004
54,100016,2022-02-25,521.3038
55,100016,2022-02-26,521.3038
56,100016,2022-02-27,521.3038
57,100016,2022-02-28,514.1489
58,100016,2022-03-01,503.1674
59,100016,2022-03-02,504.7495
60,100016,2022-03-03,505.6316
61,100016,2022-03-04,504.6233
62,100016,2022-03-05,504.6233
63,100016,2022-03-06,504.6233
64,100016,2022-03-07,504.411
65,100016,2022-03-08,518.6513
66,100016,2022-03-09,517.7387
67,100016,2022-03-10,520.3416
68,100016,2022-03-11,517.6372
69,100016,2022-03-12,517.6372
70,100016,2022-03-13,517.6372
71,100016,2022-03-14,519.2545
72,100016,2022-03-15,518.432
73,100016,2022-03-16,516.825
74,100016,2022-03-17,525.4534
75,100016,2022-03-18,531.2109
76,100016,2022-03-19,531.2109
77,100016,2022-03-20,531.2109
78,100016,2022-03-21,532.1264
79,100016,2022-03-22,521.6911
80,100016,2022-03-23,520.3011
81,100016,2022-03-24,533.1283
82,100016,2022-03-25,532.3194
83,100016,2022-03-26,532.3194
84,100016,2022-03-27,532.3194
85,100016,2022-03-28,537.8012
86,100016,2022-03-29,544.965
87,100016,2022-03-30,546.3002
88,100016,2022-03-31,542.5392
89,100016,2022-04-01,531.285
90,100016,2022-04-02,531.285
91,100016,2022-04-03,531.285
92,100016,2022-04-04,534.7762
93,100016,2022-04-05,531.2213
94,100016,2022-04-06,532.3217
95,100016,2022-04-07,526.7582
96,100016,2022-04-08,525.7986
97,100016,2022-04-09,525.7986
98,100016,2022-04-10,525.7986
99,100016,2022-04-11,526.2264
100,100016,2022-04-12,527.7466
101,100016,2022-04-13,522.8529
102,100016,2022-04-14,528.6739
103,100016,2022-04-15,526.1696
104,100016,2022-04-16,526.1696
105,100016,2022-04-17,526.1696
106,100016,2022-04-18,518.7241
107,100016,2022-04-19,518.493
108,100016,2022-04-20,518.9178
109,100016,2022-04-21,519.9214
110,100016,2022-04-22,526.4763
111,100016,2022-04-23,526.4763
112,100016,2022-04-24,526.4763
113,100016,2022-04-25,525.6507
114,100016,2022-04-26,525.3674
115,100016,2022-04-27,520.5493
116,100016,2022-04-28,524.6005
117,100016,2022-04-29,525.7251
118,100016,2022-04-30,525.7251
119,100016,2022-05-01,525.7251
120,100016,2022-05-02,524.0515
121,100016,2022-05-03,515.5881
122,100016,2022-05-04,522.4674
123,100016,2022-05-05,517.1078
124,100016,2022-05-06,514.6837
125,100016,2022-05-07,514.6837
126,100016,2022-05-08,514.6837
127,100016,2022-05-09,516.5793
128,100016,2022-05-10,511.4204
129,100016,2022-05-11,504.9889
130,100016,2022-05-12,495.8735
131,100016,2022-05-13,499.2941
132,100016,2022-05-14,499.2941
133,100016,2022-05-15,499.2941
